0,1,2,3,4,5,6,7,8,9,10,11,12
4080,7109.8,5666.7,4247.6,6918.6,6468.6,9252.8,9315.9,9025.8,7374.4,8195.1,8480.3,5494.9
4102,17.186,13.554,10.468,17.334,15.998,22.117,22.558,21.485,17.567,19.482,20.796,13.956
4119,1757.3,1398.7,1060.8,1736.1,1613.5,2279.3,2306.1,2219.6,1817.6,2016.9,2109.5,1385.2
4120,1794.6,1403.7,980.49,1754.3,1479,1933.1,2086.3,1826.7,1421.7,1591.4,1680.9,1233.5
4121,1054.1,819.49,601.32,1103,919.47,1140,1236.6,1077.6,811.63,930.34,1036,778.42
4122,1178.5,943.06,726.57,1175.1,1089.3,1533.2,1550.2,1494.1,1222.1,1362.2,1422.8,933.59
4133,122.25,79.037,55.589,96.526,90.698,147.09,159.35,138.89,107.15,120.27,129.76,96.133
4142,4287.1,3456.4,2566.3,4283.2,3979.8,5630.8,5630.9,5504.9,4444,4976,5183.4,3322.7
4147,336.56,271.4,203.96,330.58,307.42,438.55,442.49,427.17,354.07,390.43,403.38,262.47
4201,3336.5,2636.5,2016.1,3300.9,3053.9,4317.2,4389,4196.4,3420.5,3810.5,4005.6,2656.7
6086,5804.6,4689,3493.5,5731.2,5344.7,7635.6,7624.5,7469.9,6048.1,6774.8,6985.8,4450.8
6140,3319.2,3066.8,7456,5145,9165.7,3630.8,5832.2,4535.5,2913.5,4073.8,2665.5,3077.5
6231,794.71,630.85,471.01,752.06,717.44,1021.6,1028.2,997.75,837.13,909.44,934,604.47
6280,3912.7,4568.7,7396.9,8704.6,9975.2,6744.7,4444,3274.5,2586.2,3080,2934.9,2646
6624,44231,38816,41840,47468,54476,52897,61034,69159,64253,53383,42365,42731
7115,799.88,836.76,1509.9,1862.5,1153.7,997.18,483.74,422.76,477.31,531.93,631.47,843.58
7116,1632,1695.8,3421.3,3980.6,2913.8,1899.4,856.06,852.34,652.6,1157.1,1392.5,1843.3
7118,12.831,13.82,14.808,17.729,9.348,13.886,8.44,7.54,14.984,5.27,6.471,11.873
7474,282.34,377.27,426.77,510.67,467.9,546.76,461.79,450.13,375.07,350.48,392,353.49
7810,11.64,9.6918,7.5028,11.405,10.491,15.555,15.578,15.183,12.544,14.133,14.047,8.8952
7820,5731,5943.3,11100,13398,8286.7,7368.3,3606.2,3079.5,3456.6,3909.1,4595.4,6181.5
7821,235.51,246.37,426.26,509.73,339.14,266.74,128.13,120.18,129.05,146.08,172.64,238.85
7822,2314,1855.4,1480,2409.8,2248.2,2986.4,3009.5,2923.7,2396.5,2658,2850.9,1884.2
10453,196.12,202.72,185.67,235.02,269.86,275.11,211.68,302.99,266.77,285.66,270.24,107.97
10520,1265,1794.4,2340.2,2032.2,2332.2,1965.7,1445,1343.4,1073.3,969.5,1552,1593.3
10686,584.89,512.42,445.83,561.13,1118.9,908.49,662.48,409.2,391.45,530.05,542.72,574.79
10903,2852.3,3135,3729.5,3667.5,3658.8,4370.3,3685.3,4313.8,3990,2441.2,2149,2565
50157,643.37,691.88,1230.5,1525.6,912.07,778.96,381.02,341.32,391.18,433.02,512.86,678.98
50158,1347.7,1446.3,2620.2,3268,1943.7,1655.3,799.67,709.5,795.83,916.5,1087,1427.5
50159,302.27,321.63,561.95,698.73,415.99,366.25,179.11,157.82,183.58,198.01,233.21,310.96
50160,257.65,285.84,487.02,598.73,368.89,283.37,139.49,137.12,157.95,168.42,201.97,271.36
50328,536.17,503.33,1109.5,1172.2,1266,1175.7,972.17,767,454.33,722.17,683,513
50408,1130.9,899.42,687.95,1122.7,1043.8,1465.1,1482.9,1427.3,1168.3,1297.2,1360.8,895.59
50409,995.3,1032.6,1921.3,2318.6,1436.5,1266.2,617.09,529.24,585.1,675.1,791.4,1063.4
50433,483.56,509.11,939.32,1137.2,697.44,604.59,295.56,258.22,287.39,329.63,387.35,518.46
50436,596.66,632.37,1159.6,1422.8,860.57,745.03,363.18,317.93,355.51,408.44,481.71,638.04
50437,613.66,660.52,1202.9,1500.6,884.44,770.78,378.41,332.8,386.02,426.75,507.98,665.51
50439,458.16,374.26,275.69,451.45,419.02,603.73,604.24,589.29,485.14,537.86,550.93,351.58
52054,1267.1,1115.8,1921.5,1848.3,2123.2,2981.3,1656.6,1240.8,1053.6,1178.7,1488.1,1421.2
54103,2860.3,2281,1742.4,2813.4,2625.5,3710.3,3747.7,3617.4,2971.6,3295.2,3428.8,2242.6
54285,1328.2,1155,2065.3,2128.1,2595.4,3641.1,1674.2,1115.6,958.66,1108.1,1447.6,1418.2
54340,1104.6,1186.8,2166.2,2732.5,1625.9,1376,663.48,587.4,652.37,768.2,916.57,1184.4
54341,741.26,791.7,1470.3,1810,1092.5,920.65,445.01,393.73,424.85,517.38,610.57,798.15
54342,517.05,551,1015.3,1249.9,753.01,643.48,312.51,275.23,303.31,357.62,422.11,554.84
54525,125.91,146.3,165.59,194.65,191.24,220.76,185.23,181.41,164.4,130.72,134.78,140
54969,718.61,904.48,1034,1226.8,1166.3,1368.8,1142.8,1140,962.94,830.06,907.01,868.25
55684,333.97,258.11,177.73,333.11,277.48,435.74,466.86,408.77,325.98,369.14,399.5,289.11
55685,321.67,258.71,195.53,319.87,298.99,420.97,421.08,411.99,334.13,373.53,388.18,249.17
56978,187.02,295.04,299.08,394.05,314.7,441.1,381.02,379.21,298.04,259.49,295.76,254.98
57069,5590.3,5462.1,9659.9,9632.1,11612,16753,7953.4,6035.8,4984.8,4865.3,6694.6,6173.4
57190,3625.2,3219.6,2523.8,3814.1,3486.9,5012.4,4886,4945.1,4083.6,4647.5,4565.8,2744
57665,1288.5,1279,2537.5,3419.9,4316.7,11135,2939.3,1157.5,1428.2,1284,1357,2014.4
